Protein,Gene,ALS_1_T1_MaxLFQ_Intensity,ALS_1_T2_MaxLFQ_Intensity,ALS_1_T3_MaxLFQ_Intensity,ALS_1_T4_MaxLFQ_Intensity,ALS_2_T1_MaxLFQ_Intensity,ALS_2_T2_MaxLFQ_Intensity,ALS_2_T3_MaxLFQ_Intensity,ALS_2_T4_MaxLFQ_Intensity,ALS_3_T1_MaxLFQ_Intensity,ALS_3_T2_MaxLFQ_Intensity,ALS_3_T3_MaxLFQ_Intensity,ALS_3_T4_MaxLFQ_Intensity,ALS_4_T1_MaxLFQ_Intensity,ALS_4_T2_MaxLFQ_Intensity,ALS_4_T3_MaxLFQ_Intensity,ALS_4_T4_MaxLFQ_Intensity,ALS_5_T1_MaxLFQ_Intensity,ALS_5_T2_MaxLFQ_Intensity,ALS_5_T3_MaxLFQ_Intensity,ALS_5_T4_MaxLFQ_Intensity,ALS_6_T1_MaxLFQ_Intensity,ALS_6_T2_MaxLFQ_Intensity,ALS_6_T3_MaxLFQ_Intensity,ALS_6_T4_MaxLFQ_Intensity,ALS_7_T1_MaxLFQ_Intensity,ALS_7_T2_MaxLFQ_Intensity,ALS_7_T3_MaxLFQ_Intensity,ALS_7_T4_MaxLFQ_Intensity,ALS_8_T1_MaxLFQ_Intensity,ALS_8_T2_MaxLFQ_Intensity,ALS_8_T3_MaxLFQ_Intensity,ALS_8_T4_MaxLFQ_Intensity,ALS_9_T1_MaxLFQ_Intensity,ALS_9_T2_MaxLFQ_Intensity,ALS_9_T3_MaxLFQ_Intensity,ALS_9_T4_MaxLFQ_Intensity,ALS_10_T1_MaxLFQ_Intensity,ALS_10_T2_MaxLFQ_Intensity,ALS_10_T3_MaxLFQ_Intensity,ALS_10_T4_MaxLFQ_Intensity,Control_1_MaxLFQ_Intensity,Control_2_MaxLFQ_Intensity,Control_3_MaxLFQ_Intensity,Control_4_MaxLFQ_Intensity,Control_5_MaxLFQ_Intensity,Control_6_MaxLFQ_Intensity,Control_7_MaxLFQ_Intensity,Control_8_MaxLFQ_Intensity,Control_9_MaxLFQ_Intensity,Control_10_MaxLFQ_Intensity
sp|O14594|NCAN_HUMAN,NCAN,20.541653944521396,20.670837061290616,20.17470627768285,20.41766450333324,18.921142524687724,,18.36372799166656,18.575313452444536,22.335714270541825,22.236285250962165,22.36916321309312,22.094811007353883,22.23054701738267,22.193783854202948,22.201598343808406,22.311741664372597,20.73525958392318,20.956517703070663,20.7699604896107,20.43866024275803,20.82310822328232,20.527469901828635,20.913377307332635,20.40859863770924,19.872038160547124,19.927277846176217,19.16376043786102,19.34611656648877,20.91189310197815,21.02517589863907,21.092048426961743,20.958299759859,20.00921428368528,20.049204041398507,20.337149270413747,20.21336543832184,19.425226657640675,19.48395026691409,19.65840327353189,19.791280308989847,21.175891374816253,21.986085920817622,22.117803634385684,22.723272209167703,21.599678705119352,22.05607504360111,21.64380628017502,21.50248273733288,21.47745917532964,21.857462661815987
sp|P00747|PLMN_HUMAN,PLG,23.68211128922415,23.59776260464497,23.54422257056204,23.456441366568495,23.797335152130906,23.449100973402665,24.06857424339696,23.827919368612697,22.998372357954484,23.2255224122984,23.16227162623216,23.06683879643424,23.016420741253334,23.03786512887797,22.89293533026096,23.057382356439696,24.07857970479927,24.04163004414191,23.89340237588732,24.16261546148272,23.444251010122432,23.786973862854232,23.759348676896494,23.49031121900102,23.996830527288648,24.36027251413857,24.334711705543302,23.86283982881131,22.978721792087352,22.763968370277052,23.02920873617962,23.167288874496855,23.98236590429406,23.65953557029352,23.76198578787668,23.84281834814474,23.505545063293397,23.501437036820327,23.471551663816854,23.47969649022979,24.053723855052965,22.911822962852117,23.482739137805687,23.137968048784305,23.67983028595464,23.82133384220899,23.412835423608584,23.95299514824929,23.695556498414373,23.44184522290686
sp|P01023|A2MG_HUMAN,A2M,24.750560222963323,24.84740601223445,24.6127210825192,24.661653767774023,23.82286177551388,24.00516968670464,23.92302530241337,23.776084446503283,24.42419253912017,24.504601846946404,24.43947466561208,24.421558173308,24.756256784714083,24.73582885884714,24.67086139839546,25.00122392705996,24.810314422819637,24.843514463968585,24.896333554310004,24.667126647232468,24.71326360723912,24.78297651274753,24.576333931442065,24.864680159573528,24.53048446709621,24.150592050201737,24.460783070825528,24.397194830407734,24.51361420951872,24.370089352194345,24.18049487229795,24.05848488746313,24.514107945034446,24.469869981695208,24.22230069228222,24.233471869912066,24.079202794515027,24.00382084540848,24.084450315559053,24.08732280613281,24.00757905464709,24.684577368990983,24.312682381549983,24.387121256797183,23.984052147479552,24.04977901337719,24.450389210239237,24.33937951915052,24.18015292896988,24.417239909477534
sp|P01033|TIMP1_HUMAN,TIMP1,21.69626391839314,21.835033764585877,21.82051145238549,21.60082732732317,21.4634046197156,21.481050975532487,21.234903420395963,21.543382746551877,21.71629922589729,21.827205477382577,21.471694396973536,21.490055084123185,21.93218135083153,21.84990803326143,21.97922670036176,21.68949629902208,22.27756458801911,22.09033074430422,22.19389271204245,22.08685606426597,22.10261689306113,22.32837997111439,21.845901503913176,22.02753098374748,22.31821748678303,21.88891925746592,22.14026960131738,22.29402833058534,21.514420943305144,21.860240830721043,21.419134691672305,21.666638103082704,22.325276055243258,21.84718721981196,21.773879238813866,21.85210865496955,21.342708931494585,21.30326876095099,21.415111183497324,21.51989249876545,21.467049842126265,22.088647839924693,21.782132422296574,21.827672239839544,21.73384300968988,21.57297787238213,21.973199361439843,22.004077075158364,21.49122393841289,22.346504611069975
sp|P02452|CO1A1_HUMAN,COL1A1,20.866237154693412,20.831187378865028,20.87154079536107,20.80433208405931,19.640096213138463,20.2479273277707,19.97871918638923,19.66926442570621,20.606959884391443,20.40920378015436,20.43723469760654,20.54783535005473,20.84903167808856,20.6147246957556,20.50260226827009,20.707904105438853,20.816334838066737,20.556680796257268,20.538115294154355,20.692733108385333,25.050511899134644,25.515393386322003,25.48681579778628,25.37346712850521,23.95741043017626,23.599472728780384,23.76138343920877,23.67333389514685,20.648086617855192,20.328158904444805,20.53564026643191,20.68928004253777,22.458586596288256,22.4236836967128,22.44514335833499,22.24205134240461,20.530198201172983,20.568773637373244,20.413234773741912,20.431159072790464,21.359513246613627,21.22049254994867,21.40735902503234,21.023054103993594,20.989880698546216,21.32284311230759,21.777583725684888,21.55030172301461,20.927937071075764,21.225387962968377
sp|P02461|CO3A1_HUMAN,COL3A1,19.17679545611061,19.62369953222912,19.67598110735614,19.67015468021802,,,,,19.36897355554724,18.769995608166536,19.16568619020073,18.79549860051796,19.025429261079854,19.414625261982096,19.02699132422354,19.504369014462718,19.01042764050216,19.260457289154715,19.483294018618174,19.14141571734712,19.16592496477981,19.914597152613663,19.50474286189345,19.09369332833003,,18.78735653228291,18.729392078388557,,19.046987406670944,18.37900595860132,18.74050822407164,19.23266965938649,18.884914123887626,18.9134904913835,19.0635606420864,18.72233276729724,18.77302117351876,18.47766906405862,18.755538044655705,18.867120333735524,19.532739998296883,19.35966677266505,18.809566169075453,18.913100086893515,19.214885345296736,19.16741480670913,19.419924644215524,19.748540827104332,,18.801959898457696
sp|P02671|FIBA_HUMAN,FGA,22.722302786118306,22.8862699237568,22.539285624497325,21.887554999422203,22.846935461489696,22.42261297819992,23.115941519444583,23.35729101411617,22.64104162061964,22.4662768523488,22.5121783521682,22.497195806640764,22.33543156168271,22.35579140885704,22.033910856391262,22.45836014878195,22.50626701331744,22.88822805824396,22.586962323186544,22.53490029191132,22.645406003901257,21.42463775984419,22.983414159260832,22.50140114231062,21.72362181210514,21.79233892008129,22.08574425539284,21.91906593667447,21.961740946595267,21.6903389718819,22.306118813616603,22.33681075233615,22.62591738262355,23.22856262062849,23.6878279032036,23.399640652952627,22.91174620388312,23.067243364835797,23.38037972665206,23.06127158956661,23.23259455900421,21.9942894993341,22.64021322987149,23.031608337293225,22.984858719157263,22.698290549257194,21.960835970462448,23.289049127620245,23.160855728498287,23.32935881772304
sp|P02675|FIBB_HUMAN,FGB,23.229072407896663,23.367918943366348,22.59215909203116,22.423411543845315,23.09102298073162,22.8067080147188,22.995801115236144,23.681584053301066,23.39924971688912,23.01513985280017,23.17212082651041,23.41599544616818,22.395180724300356,22.433524918073477,22.075413832163974,22.58789012739697,23.31050245778227,23.52123386452174,23.607645664936136,22.904567738000825,24.075061552796857,22.02633082767089,23.867639738680342,23.28482562024616,23.242171947618356,22.91464616266806,23.137735416578344,23.386662573349074,22.90950980064854,22.853840140779056,22.81887680685601,22.340938633114156,22.54865588956151,23.717909885514903,23.861780299105057,23.579462444564424,23.16357271872417,23.341709688783126,23.637054094424307,23.32314021632676,23.56951448217843,22.725358472301348,23.24597183350823,23.506138264206704,23.336790710089808,23.136866617512112,22.479648525577836,23.452345033924583,23.792542298211742,23.6051870094259
sp|P02679|FIBG_HUMAN,FGG,23.57162258850457,23.593386039759103,22.97170411161086,22.52550533891967,23.0252845125259,22.89105858530313,22.824156458246293,23.750340717563848,23.32418308053648,22.76133231824187,23.03648904171543,23.19438059445934,23.105371673391712,23.274827338289512,22.93958730965215,23.20617283357873,22.67904400304798,23.195349674359274,23.483520100152703,22.39098619556117,23.67297483119256,21.09054309101437,23.42495510295501,22.674076589959345,22.87912707053775,22.87622119105664,22.635600408747948,23.02503424210873,23.307539458719614,23.243222962096784,23.118294700497056,22.48043499176569,22.79146971076226,24.052702921310942,24.27411375378024,24.019541906497363,23.07537570251503,23.357997843365467,23.53609216076589,23.277308849108536,23.53705491828479,22.99536115265316,23.23570138968069,23.44264129016694,23.318844352961957,23.02068941614104,22.45952740276776,23.570546103989265,23.722145192489545,23.657109100146908
sp|P02751|FINC_HUMAN,FN1,23.16129045066772,23.200183901442752,22.99407765373109,22.79335101863754,22.44956300832465,21.96838272675167,22.06906245542529,22.60164066167026,23.337635170852444,22.88172485367118,23.26558227523301,23.28999183007041,23.18705705731221,23.322840225818315,23.035472102529624,23.303801079896942,23.40159164639933,23.79972891839924,24.03910456388721,23.04167759086588,23.829027989381306,23.272131588669,23.88199700142892,23.42321356580445,23.070209608242287,22.797852427249666,22.50394274310324,22.970459069219665,23.04142813983508,23.100932431558387,22.93889581089685,22.813738969152777,22.63689253179295,23.28701713680518,23.28080543533591,23.351683927789125,22.56937798553798,22.71747452362216,22.78534796689336,22.899171144252385,22.51890630031365,23.7278934707467,23.407327139547384,23.79351908330422,22.99584344852881,23.120909174282197,23.34919618575169,22.904785915174248,22.88546447776143,22.985569302090703
